year,city,country,avg_temp
1900,Patna,India,25.47
1901,Patna,India,25.34
1902,Patna,India,25.47
1903,Patna,India,25.33
1904,Patna,India,25.07
1905,Patna,India,24.37
1906,Patna,India,25.25
1907,Patna,India,24.94
1908,Patna,India,25.39
1909,Patna,India,25.16
1910,Patna,India,25.02
1911,Patna,India,25.09
1912,Patna,India,25.11
1913,Patna,India,24.68
1914,Patna,India,25.03
1915,Patna,India,25.56
1916,Patna,India,25.19
1917,Patna,India,24.47
1918,Patna,India,24.74
1919,Patna,India,24.95
1920,Patna,India,25.34
1921,Patna,India,25.52
1922,Patna,India,25.12
1923,Patna,India,25.30
1924,Patna,India,25.60
1925,Patna,India,24.76
1926,Patna,India,25.02
1927,Patna,India,25.20
1928,Patna,India,25.55
1929,Patna,India,25.25
1930,Patna,India,25.13
1931,Patna,India,25.65
1932,Patna,India,25.54
1933,Patna,India,24.76
1934,Patna,India,25.20
1935,Patna,India,25.25
1936,Patna,India,24.99
1937,Patna,India,24.86
1938,Patna,India,25.27
1939,Patna,India,25.41
1940,Patna,India,25.26
1941,Patna,India,25.76
1942,Patna,India,25.60
1943,Patna,India,25.42
1944,Patna,India,25.17
1945,Patna,India,24.96
1946,Patna,India,25.19
1947,Patna,India,25.63
1948,Patna,India,25.49
1949,Patna,India,25.01
1950,Patna,India,25.06
1951,Patna,India,25.63
1952,Patna,India,25.65
1953,Patna,India,25.90
1954,Patna,India,25.52
1955,Patna,India,25.47
1956,Patna,India,25.22
1957,Patna,India,25.65
1958,Patna,India,26.33
1959,Patna,India,25.52
1960,Patna,India,25.69
1961,Patna,India,25.22
1962,Patna,India,25.20
1963,Patna,India,25.39
1964,Patna,India,25.45
1965,Patna,India,25.38
1966,Patna,India,26.07
1967,Patna,India,25.51
1968,Patna,India,25.11
1969,Patna,India,25.78
1970,Patna,India,25.44
1971,Patna,India,24.43
1972,Patna,India,25.41
1973,Patna,India,25.64
1974,Patna,India,25.53
1975,Patna,India,25.55
1976,Patna,India,25.58
1977,Patna,India,25.39
1978,Patna,India,25.03
1979,Patna,India,26.01
1980,Patna,India,25.75
1981,Patna,India,25.12
1982,Patna,India,25.37
1983,Patna,India,25.11
1984,Patna,India,25.27
1985,Patna,India,25.77
1986,Patna,India,25.40
